"Date","Expanded_RB_HF","Expanded_RB_LF","Expanded_RB_LF_LR","Expanded_LB_HF","Expanded_LB_LF","Expanded_LB_LF_LR","Proportion_of_Fish_in_LF_on_RB","Proportion_of_Fish_in_LF_on_LB","Total_Proportion_of_Fish_in_LF","Total_Expanded_Count_RB","Total_Expanded_Count_LB","Cumulative_RB","Cumulative_LB","Sockeye_Caught","Chinook_Adults_Caught","Chinook_Jacks_Caught","Coho_Caught","Pink_Caught","Chum_Caught","Steelhead_Caught","Total_Caught","Proportion_Sockeye","Proportion_Chinook_Adults","Proportion_Chinook_Jacks","Proportion_Coho","Proportion_Pink","Proportion_Chum","Proportion_Steelhead","Daily_Sockeye","Daily_Chinook_Adults","Daily_Chinook_Jacks","Daily_Coho","Daily_Pink","Daily_Chum","Daily_Steelhead","Cumulative_Sockeye","Cumulative_Chinook_Adults","Cumulative_Chinook_Jacks","Cumulative_Coho","Cumulative_Pink","Cumulative_Chum","Cumulative_Steelhead","Expanded_Daily_Total_RB_LB","Cumulative_Total_RB_LB","NA"
"Date","Expanded RB HF","Expanded RB LF","Expanded RB LF LR","Expanded LB HF","Expanded LB LF","Expanded LB LF LR","Proportion of Fish in LF on RB","Proportion of Fish in LF on LB","Total Proportion of Fish in LF","Total Expanded Count RB","Total Expanded Count LB","Cumulative RB","Cumulative LB","Sockeye Caught","Chinook Adults Caught","Chinook Jacks Caught","Coho Caught","Pink Caught","Chum Caught","Steelhead Caught","Total Caught","Proportion Sockeye","Proportion Chinook Adults","Proportion Chinook Jacks","Proportion Coho","Proportion Pink","Proportion Chum","Proportion Steelhead","Daily Sockeye","Daily Chinook Adults","Daily Chinook Jacks","Daily Coho","Daily Pink","Daily Chum","Daily Steelhead","Cumulative Sockeye","Cumulative Chinook Adults","Cumulative Chinook Jacks","Cumulative Coho","Cumulative Pink","Cumulative Chum","Cumulative Steelhead","Expanded Daily Total RB + LB","Cumulative Total RB + LB",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FN Fisheries"
"45108","735","306","6","735","306","6","0.29799426934097423","0.29799426934097423","0.29799426934097423","1047","1047","1047","1047",NA,NA,NA,NA,NA,NA,NA,NA,"0","1","0","0","0","0","0","0","2094","0","0","0","0","0","0","2094","0","0","0","0","0","2094","2094",NA
"45109","976.5","492","48","976.5","492","48","0.35608308605341249","0.35608308605341249","0.35608308605341249","1516.5","1516.5","2563.5","2563.5","2","4","0","0","0","0","0","6","0.33333333333333331","0.66666666666666663","0","0","0","0","0","1011","2022","0","0","0","0","0","1011","4116","0","0","0","0","0","3033","5127",NA
"45110","726","391.5","12","726","391.5","12","0.35723771580345287","0.35723771580345287","0.35723771580345287","1129.5","1129.5","3693","3693","3","5","0","0","0","0","0","8","0.375","0.625","0","0","0","0","0","847.125","1411.875","0","0","0","0","0","1858.125","5527.875","0","0","0","0","0","2259","7386",NA
"45111","942","398.75","15","942","398.75","15","0.30518163378203944","0.30518163378203944","0.30518163378203944","1355.75","1355.75","5048.75","5048.75","7","4","0","0","0","0","0","11","0.63636363636363635","0.36363636363636365","0","0","0","0","0","1725.5","986","0","0","0","0","0","3583.625","6513.875","0","0","0","0","0","2711.5","10097.5",NA
"45112","894","483","18","894","483","18","0.35913978494623655","0.35913978494623655","0.35913978494623655","1395","1395","6443.75","6443.75","6","3","0","0","0","0","0","9","0.66666666666666663","0.33333333333333331","0","0","0","0","0","1860","930","0","0","0","0","0","5443.625","7443.875","0","0","0","0","0","2790","12887.5",NA
"45113","1200","531","66","1200","531","66","0.332220367278798","0.332220367278798","0.332220367278798","1797","1797","8240.75","8240.75","9","2","0","0","0","0","0","11","0.81818181818181823","0.18181818181818182","0","0","0","0","0","2940.5454545454545","653.4545454545455","0","0","0","0","0","8384.170454545454","8097.329545454546","0","0","0","0","0","3594","16481.5",NA
"45114","1257","642","57","1257","642","57","0.35736196319018404","0.35736196319018404","0.35736196319018404","1956","1956","10196.75","10196.75","8","3","0","0","0","0","0","11","0.72727272727272729","0.27272727272727271","0","0","0","0","0","2845.090909090909","1066.9090909090908","0","0","0","0","0","11229.261363636364","9164.238636363636","0","0","0","0","0","3912","20393.5",NA
"45115","1153.8461538461538","510","90","1263","619","132","0.34210526315789475","0.37288977159880832","0.3585602874525336","1753.8461538461538","2014","11950.596153846154","12210.75","3","5","1","0","0","0","0","9","0.33333333333333331","0.55555555555555558","0.1111111111111111","0","0","0","0","1255.9487179487178","2093.2478632478633","418.64957264957263","0","0","0","0","12485.210081585083","11257.486499611499","418.64957264957263","0","0","0","0","3767.8461538461538","24161.346153846152",NA
