"date","count_hour","duration_minutes","up","down","net_up","salmon_per_hour","comments","sheet_name"
2023-07-08,11,20,31,0,31,93,"First LB HF file","HF"
2023-07-08,12,20,29,0,29,87,NA,"HF"
2023-07-08,14,20,21,0,21,63,NA,"HF"
2023-07-08,15,20,32,0,32,96,NA,"HF"
2023-07-08,16,20,25,0,25,75,NA,"HF"
2023-07-08,17,20,21,0,21,63,NA,"HF"
2023-07-08,18,20,17,0,17,51,NA,"HF"
2023-07-08,19,20,11,0,11,33,NA,"HF"
2023-07-08,20,20,0,0,0,0,NA,"HF"
2023-07-08,21,20,4,0,4,12,NA,"HF"
2023-07-08,22,20,10,1,9,27,NA,"HF"
2023-07-08,23,20,9,0,9,27,NA,"HF"
2023-07-09,0,20,2,0,2,6,NA,"HF"
2023-07-09,1,20,1,0,1,3,NA,"HF"
2023-07-09,2,20,2,0,2,6,NA,"HF"
2023-07-09,3,20,7,0,7,21,NA,"HF"
2023-07-09,4,20,4,0,4,12,NA,"HF"
2023-07-09,5,20,3,0,3,9,NA,"HF"
2023-07-09,6,20,9,0,9,27,NA,"HF"
2023-07-09,7,20,11,0,11,33,NA,"HF"
2023-07-09,8,20,6,0,6,18,NA,"HF"
2023-07-09,9,20,10,1,9,27,NA,"HF"
2023-07-09,10,20,15,0,15,45,NA,"HF"
2023-07-09,11,20,24,0,24,72,NA,"HF"
2023-07-09,12,20,20,1,19,57,NA,"HF"
2023-07-09,13,20,14,0,14,42,NA,"HF"
2023-07-09,14,20,30,0,30,90,NA,"HF"
2023-07-09,15,20,40,0,40,120,NA,"HF"
2023-07-09,16,20,28,1,27,81,NA,"HF"
2023-07-09,17,20,17,0,17,51,NA,"HF"
2023-07-09,18,20,27,1,26,78,NA,"HF"
2023-07-09,19,20,11,0,11,33,NA,"HF"
2023-07-09,20,20,27,0,27,81,NA,"HF"
2023-07-09,21,20,11,0,11,33,NA,"HF"
2023-07-09,22,20,6,0,6,18,NA,"HF"
2023-07-09,23,20,1,0,1,3,NA,"HF"
2023-07-10,0,20,8,1,7,21,NA,"HF"
2023-07-10,1,20,3,1,2,6,NA,"HF"
2023-07-10,2,20,3,0,3,9,NA,"HF"
2023-07-10,3,20,4,0,4,12,NA,"HF"
2023-07-10,4,20,7,0,7,21,NA,"HF"
2023-07-10,5,20,12,0,12,36,NA,"HF"
2023-07-10,6,20,5,0,5,15,NA,"HF"
2023-07-10,7,20,8,1,7,21,NA,"HF"
2023-07-10,8,20,16,0,16,48,NA,"HF"
2023-07-10,9,20,13,0,13,39,NA,"HF"
2023-07-10,10,20,15,0,15,45,NA,"HF"
2023-07-10,11,20,3,0,3,9,NA,"HF"
2023-07-10,12,20,18,0,18,54,NA,"HF"
2023-07-10,13,20,17,0,17,51,NA,"HF"
2023-07-10,14,20,10,0,10,30,NA,"HF"
2023-07-10,15,20,15,0,15,45,NA,"HF"
2023-07-10,16,20,23,1,22,66,NA,"HF"
2023-07-10,17,20,26,0,26,78,NA,"HF"
2023-07-10,18,20,12,0,12,36,NA,"HF"
2023-07-10,19,20,16,0,16,48,NA,"HF"
2023-07-10,20,20,32,0,32,96,NA,"HF"
2023-07-10,21,20,20,0,20,60,NA,"HF"
2023-07-10,22,20,9,0,9,27,NA,"HF"
2023-07-10,23,20,7,0,7,21,NA,"HF"
2023-07-11,0,20,8,0,8,24,NA,"HF"
2023-07-11,1,20,6,1,5,15,NA,"HF"
2023-07-11,2,20,5,2,3,9,NA,"HF"
2023-07-11,3,20,5,0,5,15,NA,"HF"
2023-07-11,4,20,7,0,7,21,NA,"HF"
2023-07-11,5,20,7,0,7,21,NA,"HF"
2023-07-11,6,20,9,0,9,27,NA,"HF"
2023-07-11,7,20,12,0,12,36,NA,"HF"
2023-07-11,8,20,16,0,16,48,NA,"HF"
2023-07-11,9,20,22,0,22,66,NA,"HF"
2023-07-11,10,20,19,0,19,57,NA,"HF"
2023-07-11,11,20,8,0,8,24,NA,"HF"
2023-07-11,12,20,22,0,22,66,NA,"HF"
2023-07-11,13,20,50,0,50,150,NA,"HF"
2023-07-11,14,20,13,0,13,39,NA,"HF"
2023-07-11,15,20,38,0,38,114,NA,"HF"
2023-07-11,16,20,40,0,40,120,NA,"HF"
2023-07-11,17,20,39,0,39,117,NA,"HF"
2023-07-11,18,20,41,0,41,123,NA,"HF"
2023-07-11,19,20,46,0,46,138,NA,"HF"
2023-07-11,20,20,33,0,33,99,NA,"HF"
2023-07-11,21,20,24,0,24,72,NA,"HF"
2023-07-11,22,20,14,0,14,42,NA,"HF"
2023-07-11,23,20,8,0,8,24,NA,"HF"
2023-07-12,0,20,4,1,3,9,NA,"HF"
2023-07-12,1,20,10,1,9,27,NA,"HF"
2023-07-12,2,20,14,0,14,42,NA,"HF"
2023-07-12,3,20,3,0,3,9,NA,"HF"
2023-07-12,4,20,17,0,17,51,NA,"HF"
2023-07-12,5,20,16,0,16,48,NA,"HF"
2023-07-12,6,20,16,0,16,48,NA,"HF"
2023-07-12,7,20,12,0,12,36,NA,"HF"
2023-07-12,8,20,49,1,48,144,NA,"HF"
