"date","sheet_name","total_up","total_down","total_net_up","total_salmon_hour","avg_duration","created_at","updated_at","updated_by"
2023-07-01,"HF",235,0,235,735,19.2857142857143,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-01,"LF",91,7,84,252,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-01,"LR",2,1,1,6,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-02,"HF",310,2,308,924,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-02,"LF",140,5,135,405,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-02,"LR",6,0,6,36,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-03,"HF",248,6,242,726,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-03,"LF",109,5,104,312,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-03,"LR",2,0,2,12,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-04,"HF",259,1,258,774,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-04,"LF",112,4,108,324,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-04,"LR",3,1,2,12,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-05,"HF",301,3,298,894,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-05,"LF",169,8,161,483,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-05,"LR",4,1,3,18,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-06,"HF",408,8,400,1200,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-06,"LF",182,5,177,531,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-06,"LR",13,2,11,66,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-07,"HF",421,2,419,1257,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-07,"LF",216,2,214,642,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-07,"LR",10,1,9,54,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-08,"HF",432,5,427,1285.84615384615,19.7307692307692,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-08,"LF",221,3,218,661,19.8214285714286,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-08,"LR",27,2,25,150,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-09,"HF",839,11,828,2484,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-09,"LF",282,10,272,816,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-09,"LR",18,1,17,102,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-10,"HF",1074,6,1068,3204,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-10,"LF",346,2,344,1035,19.8936170212766,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-10,"LR",17,1,16,96,9.8936170212766,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-11,"HF",1296,4,1292,3876,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-11,"LF",340,4,336,1008,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-11,"LR",30,1,29,174,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-12,"HF",1549,7,1542,4626,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-12,"LF",318,5,313,939,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-12,"LR",26,2,24,144,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-13,"HF",1630,9,1621,4863,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-13,"LF",296,7,289,867,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-13,"LR",20,3,17,102,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-14,"HF",1605,8,1597,4791,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-14,"LF",307,8,299,897,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-14,"LR",20,1,19,114,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-15,"HF",1342.5,7,1335.5,4006.5,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-15,"LF",335,5,330,990,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-15,"LR",31,1,30,180,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-16,"HF",1710,14,1696,5088,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-16,"LF",304,13,291,873,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-16,"LR",21,6,15,90,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-17,"HF",1834,11,1823,5469,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-17,"LF",299,9,290,870,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-17,"LR",15,4,11,66,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-18,"HF",1461,3,1458,4374,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-18,"LF",403,11,392,1176,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-18,"LR",33,4,29,174,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-19,"HF",1873,19,1854,5562,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-19,"LF",500,14,486,1458,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-19,"LR",61,7,54,324,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-20,"HF",2749,8,2741,8223,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-20,"LF",464,3,461,1383,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-20,"LR",33,3,30,180,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-21,"HF",2657,7,2650,8041.99509803922,19.625,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-21,"LF",397.5,13,384.5,1158.26470588235,19.9333333333333,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-21,"LR",43,12,31,186,9.97777777777778,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-22,"HF",2502,4,2498,7494,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-22,"LF",344,17,327,981,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-22,"LR",13,4,9,54,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-23,"HF",2518,10,2508,7524,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-23,"LF",400,15,385,1155,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-23,"LR",27,4,23,138,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-24,"HF",2477,6,2471,7461,19.8936170212766,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-24,"LF",529,25,504,1512,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-24,"LR",33,10,23,138,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-25,"HF",3361,20,3341,10023,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-25,"LF",546,24,522,1566,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-25,"LR",16,8,8,48,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-26,"HF",3326,23,3303,9909,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-26,"LF",605,22,583,1749,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-26,"LR",22,5,17,102,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-27,"HF",3005,20,2985,8955,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-27,"LF",414,17,397,1191,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-27,"LR",33,4,29,174,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-28,"HF",2590,16,2574,7722,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-28,"LF",429,12,417,1251,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-28,"LR",29,3,26,156,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-29,"HF",2665,20,2645,7935,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-29,"LF",500,29,471,1413,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-29,"LR",32,7,25,150,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-30,"HF",2412,22,2390,7170,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-30,"LF",398,32,366,1098,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-30,"LR",19,7,12,72,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-31,"HF",2360,27,2333,6999,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-31,"LF",485,27,458,1374,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-07-31,"LR",38,5,33,198,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-01,"HF",2671,24,2647,7941,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-01,"LF",539,27,512,1536,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-01,"LR",19,2,17,102,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-02,"HF",3222,9,3213,9639,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-02,"LF",584,15,569,1707,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-02,"LR",31,8,23,138,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
